id;annee;;age;remuneration;Indice.prix.base.100.2015;Taux.remplacement.liquidation;Indice;Indice.non.pct;Remu.nette.deflatee;Facteur.net
Cas 1 gen 1980 ageLiq 64;2004;19912,9;24;17184,8;86,30%;42,83%;100;86,3;15930,32;0,8
Cas 1 gen 1980 ageLiq 64;2005;20338,6;25;17877,6;87,90%;42,83%;;87,9;16270,88;
Cas 1 gen 1980 ageLiq 64;2006;38819,5;26;34677,4;89,30%;42,83%;;89,33;31055,6;
Cas 1 gen 1980 ageLiq 64;2007;43310,6;27;39265,4;90,70%;42,83%;;90,66;34648,48;
Cas 1 gen 1980 ageLiq 64;2008;46293,7;28;43150,4;93,20%;42,83%;;93,21;37034,96;
Cas 1 gen 1980 ageLiq 64;2009;49504,4;29;46182,7;93,30%;42,83%;;93,29;39603,52;
Cas 1 gen 1980 ageLiq 64;2010;53331,4;30;50510,2;94,70%;42,83%;;94,71;42665,12;
Cas 1 gen 1980 ageLiq 64;2011;54574,8;31;52779,3;96,70%;42,83%;;96,71;43659,84;
Cas 1 gen 1980 ageLiq 64;2012;57486,8;32;56682;98,60%;42,83%;;98,6;45989,44;
Cas 1 gen 1980 ageLiq 64;2013;60174,3;33;59849,3;99,50%;42,83%;;99,46;48139,44;
Cas 1 gen 1980 ageLiq 64;2014;63120,9;34;63095,7;100,00%;42,83%;;99,96;50496,72;
Cas 1 gen 1980 ageLiq 64;2015;66301,5;35;66301,5;100,00%;42,83%;;100;53041,2;
Cas 1 gen 1980 ageLiq 64;2016;67349,4;36;67470,7;100,20%;42,83%;;100,18;53879,52;
Cas 1 gen 1980 ageLiq 64;2017;68411,5;37;69246,1;101,20%;42,83%;;101,22;54729,2;
Cas 1 gen 1980 ageLiq 64;2018;68549,9;38;70668,1;103,10%;42,83%;;103,09;54839,92;
Cas 1 gen 1980 ageLiq 64;2019;68804,5;39;71715;104,20%;42,83%;;104,23;55043,6;
Cas 1 gen 1980 ageLiq 64;2020;66925,6;40;70091,1;104,70%;42,83%;;104,73;53540,48;
Cas 1 gen 1980 ageLiq 64;2021;71594,3;41;76212,1;106,50%;42,83%;;106,45;57275,44;
Cas 1 gen 1980 ageLiq 64;2022;71949,8;42;80591;112,00%;42,83%;;112,01;57559,84;
Cas 1 gen 1980 ageLiq 64;2023;73098,8;43;85869,2;117,50%;42,83%;;117,47;58479,04;
Cas 1 gen 1980 ageLiq 64;2024;74932,8;44;90226,6;120,40%;42,83%;;120,41;59946,24;
Cas 1 gen 1980 ageLiq 64;2025;74863,3;45;91685,1;122,50%;42,83%;;122,47;59890,64;
Cas 1 gen 1980 ageLiq 64;2026;76957,4;46;95896,6;124,60%;42,83%;;124,61;61565,92;
Cas 1 gen 1980 ageLiq 64;2027;78440,4;47;99454,6;126,80%;42,83%;;126,79;62752,32;
Cas 1 gen 1980 ageLiq 64;2028;80555;48;103924;129,00%;42,83%;;129,01;64444;
Cas 1 gen 1980 ageLiq 64;2029;83878,1;49;110106,8;131,30%;42,83%;;131,27;67102,48;
Cas 1 gen 1980 ageLiq 64;2030;86290,4;50;115249,4;133,60%;42,83%;;133,56;69032,32;
Cas 1 gen 1980 ageLiq 64;2031;89893,3;51;122165,1;135,90%;42,83%;;135,9;71914,64;
Cas 1 gen 1980 ageLiq 64;2032;93837,2;52;129758;138,30%;42,83%;;138,28;75069,76;
Cas 1 gen 1980 ageLiq 64;2033;96549,6;53;135845,3;140,70%;42,83%;;140,7;77239,68;
Cas 1 gen 1980 ageLiq 64;2034;100167,5;54;143399,8;143,20%;42,83%;;143,16;80134;
Cas 1 gen 1980 ageLiq 64;2035;97802,4;55;142468,8;145,70%;42,83%;;145,67;78241,92;
Cas 1 gen 1980 ageLiq 64;2036;99971,8;56;148178,2;148,20%;42,83%;;148,22;79977,44;
Cas 1 gen 1980 ageLiq 64;2037;101625,2;57;153261;150,80%;42,83%;;150,81;81300,16;
Cas 1 gen 1980 ageLiq 64;2038;102991,1;58;158039,8;153,50%;42,83%;;153,45;82392,88;
Cas 1 gen 1980 ageLiq 64;2039;103770,3;59;162016,6;156,10%;42,83%;;156,13;83016,24;
Cas 1 gen 1980 ageLiq 64;2040;105370,4;60;167401,9;158,90%;42,83%;;158,87;84296,32;
Cas 1 gen 1980 ageLiq 64;2041;106802,1;61;172645,5;161,70%;42,83%;;161,65;85441,68;
Cas 1 gen 1980 ageLiq 64;2042;108162,5;62;177894,8;164,50%;42,83%;;164,47;86530;
Cas 1 gen 1980 ageLiq 64;2043;109499;63;183246,6;167,40%;42,83%;;167,35;87599,2;
Cas 1 gen 1980 ageLiq 64;2044;110979,3;64;188975,6;170,30%;42,83%;;170,28;88783,44;
Cas 1 gen 1981 ageLiq 64;2005;20034,8;24;17610,6;87,90%;42,54%;;87,9;16027,84;
Cas 1 gen 1981 ageLiq 64;2006;20665,5;25;18460,5;89,30%;42,54%;;89,33;16532,4;
Cas 1 gen 1981 ageLiq 64;2007;39228,6;26;35564,7;90,70%;42,54%;;90,66;31382,88;
Cas 1 gen 1981 ageLiq 64;2008;43114,4;27;40186,9;93,20%;42,54%;;93,21;34491,52;
Cas 1 gen 1981 ageLiq 64;2009;46256,3;28;43152,5;93,30%;42,54%;;93,29;37005,04;
Cas 1 gen 1981 ageLiq 64;2010;50060,2;29;47412;94,70%;42,54%;;94,71;40048,16;
Cas 1 gen 1981 ageLiq 64;2011;52890,2;30;51150,1;96,70%;42,54%;;96,71;42312,16;
Cas 1 gen 1981 ageLiq 64;2012;54326,9;31;53566,3;98,60%;42,54%;;98,6;43461,52;
Cas 1 gen 1981 ageLiq 64;2013;57318,6;32;57009,1;99,50%;42,54%;;99,46;45854,88;
Cas 1 gen 1981 ageLiq 64;2014;60272,6;33;60248,5;100,00%;42,54%;;99,96;48218,08;
Cas 1 gen 1981 ageLiq 64;2015;63854,1;34;63854,1;100,00%;42,54%;;100;51083,28;
Cas 1 gen 1981 ageLiq 64;2016;66998,2;35;67118,8;100,20%;42,54%;;100,18;53598,56;
Cas 1 gen 1981 ageLiq 64;2017;67988,6;36;68818,1;101,20%;42,54%;;101,22;54390,88;
Cas 1 gen 1981 ageLiq 64;2018;68256,3;37;70365,4;103,10%;42,54%;;103,09;54605,04;
Cas 1 gen 1981 ageLiq 64;2019;69073,6;38;71995,5;104,20%;42,54%;;104,23;55258,88;
Cas 1 gen 1981 ageLiq 64;2020;66018,4;39;69141,1;104,70%;42,54%;;104,73;52814,72;
Cas 1 gen 1981 ageLiq 64;2021;68630,3;40;73056,9;106,50%;42,54%;;106,45;54904,24;
Cas 1 gen 1981 ageLiq 64;2022;71390,7;41;79964,8;112,00%;42,54%;;112,01;57112,56;
Cas 1 gen 1981 ageLiq 64;2023;71730,5;42;84261,8;117,50%;42,54%;;117,47;57384,4;
Cas 1 gen 1981 ageLiq 64;2024;73296,2;43;88253,5;120,40%;42,54%;;120,41;58636,96;
Cas 1 gen 1981 ageLiq 64;2025;75395,8;44;92334;122,50%;42,54%;;122,47;60316,64;
Cas 1 gen 1981 ageLiq 64;2026;75270,6;45;93793,9;124,60%;42,54%;;124,61;60216,48;
Cas 1 gen 1981 ageLiq 64;2027;77207,7;46;97891,2;126,80%;42,54%;;126,79;61766,16;
Cas 1 gen 1981 ageLiq 64;2028;79281;47;102279,1;129,00%;42,54%;;129,01;63424,8;
Cas 1 gen 1981 ageLiq 64;2029;81562,1;48;107063,2;131,30%;42,54%;;131,27;65249,68;
Cas 1 gen 1981 ageLiq 64;2030;84828,9;49;113300,1;133,60%;42,54%;;133,56;67863,12;
Cas 1 gen 1981 ageLiq 64;2031;87168,5;50;118462,4;135,90%;42,54%;;135,9;69734,8;
Cas 1 gen 1981 ageLiq 64;2032;90717,3;51;125442,7;138,30%;42,54%;;138,28;72573,84;
Cas 1 gen 1981 ageLiq 64;2033;94907,3;52;133533,3;140,70%;42,54%;;140,7;75925,84;
Cas 1 gen 1981 ageLiq 64;2034;97669,9;53;139825;143,20%;42,54%;;143,16;78135,92;
Cas 1 gen 1981 ageLiq 64;2035;101348,5;54;147630,4;145,70%;42,54%;;145,67;81078,8;
Cas 1 gen 1981 ageLiq 64;2036;98989,3;55;146717,3;148,20%;42,54%;;148,22;79191,44;
Cas 1 gen 1981 ageLiq 64;2037;101206;56;152627,9;150,80%;42,54%;;150,81;80964,8;
Cas 1 gen 1981 ageLiq 64;2038;102897,2;57;157893,9;153,50%;42,54%;;153,45;82317,76;
