Annees.eloignant.retraite;Performances.nettes;;
40;1,0894;;
39;1,0894;;
38;1,0894;;
37;1,0894;;
36;1,0894;;
35;1,0894;;
34;1,0894;;
33;1,0894;;
32;1,0894;;
31;1,0894;;
30;1,0894;;
29;1,0893;;
28;1,0874;;
27;1,0869;;
26;1,0867;;
25;1,0848;;
24;1,0842;;
23;1,0818;;
22;1,0797;;
21;1,0791;;
20;1,0767;;
19;1,0746;;
18;1,074;;
17;1,0716;;
16;1,0696;;
15;1,0689;;
14;1,0645;;
13;1,0614;;
12;1,0587;;
11;1,0543;;
10;1,0512;;
9;1,0467;;
8;1,0435;;
7;1,0385;;
6;1,0339;;
5;1,0307;;
4;1,0258;;
3;1,0212;;
2;1,018;;
1;1,018;;
