Generation;Taux.conversion
Génération 1980;3,81%
Génération 1981;3,79%
Génération 1982;3,78%
Génération 1983;3,76%
Génération 1984;3,75%
Génération 1985;3,74%
Génération 1986;3,72%
Génération 1987;3,71%
Génération 1988;3,70%
Génération 1989;3,68%
Génération 1990;3,67%
Génération 1991;3,66%
Génération 1992;3,64%
Génération 1993;3,63%
Génération 1994;3,62%
Génération 1995;3,61%
Génération 1996;3,59%
Génération 1997;3,58%
Génération 1998;3,57%
Génération 1999;3,56%
Génération 2000;3,55%
