Annee;Part_65ans
2025;22,12%
2026;22,47%
2027;22,81%
2028;23,14%
2029;23,50%
2030;23,85%
2031;24,19%
2032;24,50%
2033;24,78%
2034;25,04%
2035;25,30%
2036;25,56%
2037;25,83%
2038;26,09%
2039;26,32%
2040;26,46%
2041;26,55%
2042;26,59%
2043;26,65%
2044;26,70%
2045;26,78%
2046;26,92%
2047;27,05%
2048;27,17%
2049;27,23%
2050;27,31%
2051;27,41%
2052;27,52%
2053;27,62%
2054;27,73%
2055;27,82%
2056;27,92%
2057;28,00%
2058;28,06%
2059;28,08%
2060;28,10%
2061;28,14%
2062;28,19%
2063;28,22%
2064;28,28%
2065;28,34%
